Problem,InitialGap,InitialTime,UpdatedGap,UpdatedTime
mppm_4,0,7.41,0,6.72
mppm_5,0,6.76,0,7.74
mppm_6,0,8.13,0,8.09
mppm_7,0,7.59,0,7.08
mppm_8,0,6.19,0,6.34
mppm_9,0,6.55,0,6.7
mppm_10,0,6.28,0,8.47
mppp_1,0,6.59,0,6.56
mppp_2,0,6.11,0,5.84
mppp_3,0,6.75,0,7.14
mppp_4,0,7.28,0,7.89
mppp_5,0,6.73,0,7.13
mppp_6,0,7.05,0,7.03
mppp_7,0,6.97,0,6.64
mppp_8,0,5.17,0,6.47
mppp_9,0,6.73,0,8.05
mppp_10,0,7.09,0,7.53
pmmm_1,0,7.98,0,6.34
pmmm_2,0,7.19,0,7.5
pmmm_3,0,6.92,0,8.0
pmmm_4,0,8.16,0,8.34
pmmm_5,0,9.55,0,9.69
pmmm_6,0,8.23,0,8.31
pmmm_7,0,8.73,0,10.08
pmmm_8,0,5.98,0,6.17
pmmm_9,0,7.75,0,8.14
pmmm_10,0,7.88,0,7.5
pmmp_1,0,13.38,0,14.83
pmmp_2,0,8.0,0,7.67
pmmp_3,0,20.47,0,20.8
pmmp_4,0,11.05,0,10.7
pmmp_5,0,86.66,0,69.05
pmmp_6,0,8.28,0,8.7
pmmp_7,0,23.27,0,16.49
pmmp_8,0,8.77,0,8.47
pmmp_9,0,14.5,0,9.24
pmmp_10,0,10.81,0,9.72
pmpm_1,0,9.97,0,8.19
pmpm_2,0,8.66,0,10.56
pmpm_3,0,7.58,0,8.49
pmpm_4,0,7.08,0,7.11
pmpm_5,0,7.91,0,9.33
pmpm_6,0,7.66,0,9.05
pmpm_7,0,8.27,0,8.5
pmpm_8,0,6.94,0,7.11
pmpm_9,0,7.66,0,9.13
pmpm_10,0,9.28,0,8.13
pmpp_1,0,10.08,0,11.99
pmpp_2,0,16.47,0,13.81
pmpp_3,0,19.19,0,8.36
pmpp_4,0,11.17,0,8.47
pmpp_5,0,6.78,0,7.47
pmpp_6,0,10.66,0,8.48
pmpp_7,0,7.89,0,8.2
pmpp_8,0,11.27,0,8.66
pmpp_9,0,141.73,0,16.23
pmpp_10,0,12.19,0,11.94
ppmm_1,0,13.61,0,10.81
ppmm_2,0,23.11,0,25.09
ppmm_3,0,60.81,0,40.53
ppmm_4,0,12.19,0,11.59
ppmm_5,0,9.58,0,8.03
ppmm_6,0,15.28,0,26.25
ppmm_7,0,12.42,0,12.23
ppmm_8,0,20.67,0,15.97
ppmm_9,0,12.22,0,9.28
ppmm_10,0,19.0,0,19.03
ppmp_1,0,14.63,0,20.22
ppmp_2,0,11.97,0,11.0
ppmp_3,0,22.17,0,21.09
ppmp_4,0,12.0,0,13.17
ppmp_5,0,37.33,0,18.95
ppmp_6,0,19.81,0,44.78
ppmp_7,0,45.5,0,37.17
ppmp_8,0,12.06,0,11.7
ppmp_9,0,25.48,0,47.08
ppmp_10,0,11.78,0,10.33
pppm_1,0,43.72,0,20.3
pppm_2,0,13.59,0,10.89
pppm_3,0,13.03,0,12.42
pppm_4,0,17.61,0,20.95
pppm_5,0,13.08,0,14.88
pppm_6,0,11.66,0,10.73
pppm_7,0,10.27,0,12.27
pppm_8,0,70.5,0,95.75
pppm_9,0,13.89,0,20.02
pppm_10,0,15.3,0,10.17
pppp_1,0,12.09,0,12.13
pppp_2,0,13.69,0,19.06
pppp_3,0,56.49,0,88.84
pppp_4,0,11.97,0,14.45
pppp_5,0,21.72,0,14.92
pppp_6,0,13.75,0,10.63
pppp_7,0,17.19,0,18.33
pppp_8,0,13.61,0,17.55
pppp_9,0,76.64,0,106.01
pppp_10,0,10.76,0,15.16
